"aou","year","num_observation"
"03560",2007,22
"03560",2008,20
"03560",2009,15
"03560",2010,23
"03560",2011,21
"03560",2012,18
"03560",2013,18
"03560",2014,31
"03560",2015,25
"03560",2016,28
"03560",2017,37
"03560",2018,37
"03560",2019,34
"03560",2021,30
"03560",2022,30
"03570",2000,70
"03570",2001,77
"03570",2002,70
"03570",2003,69
"03570",2004,80
"03570",2005,70
"03570",2006,79
"03570",2007,114
"03570",2008,94
"03570",2009,105
"03570",2010,112
"03570",2011,110
"03570",2012,114
"03570",2013,77
"03570",2014,70
"03570",2015,114
"03570",2016,110
"03570",2017,120
"03570",2018,102
"03570",2019,109
"03570",2021,114
"03570",2022,103
"03600",2000,2454
"03600",2001,2063
"03600",2002,2004
"03600",2003,1810
"03600",2004,2087
"03600",2005,2278
"03600",2006,2048
"03600",2007,1925
"03600",2008,1690
"03600",2009,1747
"03600",2010,1761
"03600",2011,1561
"03600",2012,1738
"03600",2013,1619
"03600",2014,1628
"03600",2015,2049
"03600",2016,2025
"03600",2017,1947
"03600",2018,1671
"03600",2019,1541
"03600",2021,1382
"03600",2022,1449
"03710",2000,1
"03710",2001,5
"03710",2002,7
"03710",2003,1
"03710",2005,1
"03710",2007,4
"03710",2010,4
"03710",2011,2
"03710",2012,1
"03710",2013,1
"03710",2014,3
"03710",2015,4
"03710",2018,1
"03710",2021,2
"03710",2022,12
"03750",2000,545
"03750",2001,557
"03750",2002,442
"03750",2003,495
"03750",2004,488
"03750",2005,438
"03750",2006,492
"03750",2007,456
"03750",2008,426
"03750",2009,544
"03750",2010,458
"03750",2011,512
"03750",2012,479
"03750",2013,411
"03750",2014,496
"03750",2015,458
"03750",2016,524
"03750",2017,556
"03750",2018,475
"03750",2019,468
"03750",2021,383
"03750",2022,363
"03760",2010,5
"03760",2011,1
"03760",2021,2
"03760",2022,1
"03824",2000,6
"03824",2002,26
"03824",2003,11
"03824",2004,8
"03824",2005,8
"03824",2006,15
"03824",2007,18
"03824",2008,8
"03824",2009,14
"03824",2010,10
"03824",2011,36
"03824",2012,11
"03824",2013,10
"03824",2014,10
"03824",2015,7
"03824",2016,10
"03824",2017,12
"03824",2018,7
"03824",2019,6
"03824",2021,4
"03824",2022,8
"03940",2000,4784
"03940",2001,4891
"03940",2002,4894
"03940",2003,4179
"03940",2004,4754
"03940",2005,4721
"03940",2006,5163
"03940",2007,4615
"03940",2008,4615
"03940",2009,4574
"03940",2010,5128
"03940",2011,5103
"03940",2012,5590
"03940",2013,4691
"03940",2014,4512
"03940",2015,4837
"03940",2016,5087
"03940",2017,4791
